S.No,Control,TestCaseID,Module,Author,Description
1,N,API_ViolationStatus_Test,API_Regression,Visnu,API_Check,
2,N,API_LotGroupDetails_Test,API_Regression,Visnu,API_Check,
3,N,API_ViolationType_Test,API_Regression,Visnu,API_Check,
4,N,API_AcceptedDocument_Test,API_Regression,Visnu,API_Check,
5,N,API_ProvinceState_Test,API_Regression,Visnu,API_Check,
6,N,API_GetVendorMultiBusinessEnabled_Test,API_Regression,Visnu,API_Check,
7,N,API_GetVehicleColor_Test,API_Regression,Visnu,API_Check,
8,N,API_GetVendorBusiness_Test,API_Regression,Visnu,API_Check,
9,N,API_LotDetails_Test,API_Regression,Visnu,API_Check,
10,N,API_ViolationTypeForLot_Test,API_Regression,Visnu,API_Check,
11,N,API_GetLotsForUser_Test,API_Regression,Visnu,API_Check,
12,N,API_VehicleModelForVehicleMake_Tests,API_Regression,Visnu,API_Check,
13,N,API_IsDuplicate_Tests,API_Regression,Visnu,API_Check,
14,N,API_SourceTypes_Test,API_Regression,Visnu,API_Check,
15,N,API_PlateActivityList_Test,API_Regression,Visnu,API_Check,
16,N,API_PlateActivityTypeMaster_Test,API_Regression,Visnu,API_Check,
17,N,API_PaymentMethod_Test,API_Regression,Visnu,API_Check,
18,N,API_PaymentSource_Test,API_Regression,Visnu,API_Check,
19,N,API_TransactionType_Test,API_Regression,Visnu,API_Check,
20,N,API_Search_Test,API_Regression,Visnu,API_Check,
21,N,API_SessionSearch_Test,API_Regression,Visnu,API_Check,
22,N,API_SessionSearchExport_Test,API_Regression,Visnu,API_Check,
23,N,API_PlateActivitySearch_Test,API_Regression,Visnu,API_Check,
24,N,API_PlateActivitySearchExport_Test,API_Regression,Visnu,API_Check,
25,N,API_ParkingDurationTempSearch_Test,API_Regression,Visnu,API_Check,
26,N,API_PaymentSearchExport_Test,API_Regression,Visnu,API_Check,
27,N,API_PaymentSearch_Test,API_Regression,Visnu,API_Check,
28,N,API_ReportGetRokerPermitActiveScans_Test,API_Regression,Visnu,API_Check,
29,N,API_CollectionsSearch_Test,API_Regression,Visnu,API_Check,
30,N,API_GetRokerPermitActiveScansExport_Test,API_Regression,Visnu,API_Check,
31,N,API_ViolationSearchExport_Test,API_Regression,Visnu,API_Check,
32,Y,UI_Login_Test,UI_Regression,Visnu,Check valid + invalid login flow
